 Level:Advanced
 100, 152, 1, 0, 0, 150, 100, 0, 0, 0, 1
 200, 152, 1, 0, 0, 150, 100, 0, 0, 0, 0
 300, 152, 1, 0, 0, 150, 100, 0, 0, 0, 0
 400, 152, 1, 0, 0, 150, 100, 0, 0, 0, 0

 500, 152, 1, 1, 1,  30,  50, 0, 0, 0, 1
 500, 152, 1, 1, 2, 150,  50, 1, 3, 3, 0
 533, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
 567, 152, 1, 1, 2,  30,   0, 0, 0, 0, 0
 600, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
 600, 152, 1, 1, 1, 150,  50, 1, 3, 3, 0
 633, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
 667, 152, 1, 1, 1,  30,   0, 0, 0, 0, 0
 700, 152, 1, 1, 2,  30,  50, 2, 3, 3, 0
 733, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
 733, 152, 1, 1, 1, 150,  50, 0, 0, 0, 0
 767, 152, 1, 1, 2,  30,   0, 0, 0, 0, 0
 800, 152, 1, 1, 1,  30,  50, 2, 3, 3, 0
 833, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
 833, 152, 1, 1, 2, 150,  50, 0, 0, 0, 0
 867, 152, 1, 1, 1,  30,   0, 0, 0, 0, 0
 900, 152, 1, 1, 2,  30,  50, 1, 3, 3, 0
 933, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
 967, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
 967, 152, 1, 1, 2, 150,   0, 0, 0, 0, 0
1000, 152, 1, 1, 1,  30,  50, 1, 3, 3, 0
1033, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1067, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1067, 152, 1, 1, 1, 150,   0, 0, 0, 0, 0
1100, 152, 1, 1, 2,  30,  50, 1, 3, 3, 0
1133, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
1167, 152, 1, 1, 2,  30,   0, 0, 0, 0, 0

1200, 152, 1, 1, 2,  30,  50, 0, 0, 0, 1
1200, 152, 1, 1, 1, 150,  50, 2, 3, 3, 0
1233, 152, 1, 1, 1, 150,  50, 0, 0, 0, 0
1267, 152, 1, 1, 2,  30,   0, 0, 0, 0, 0
1300, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1300, 152, 1, 1, 1, 150,  50, 2, 3, 3, 0
1333, 152, 1, 1, 1, 150,  50, 0, 0, 0, 0
1367, 152, 1, 1, 2,  30,   0, 0, 0, 0, 0
1400, 152, 1, 1, 1,  30,  50, 2, 3, 3, 0
1433, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
1433, 152, 1, 1, 2, 150,  50, 0, 0, 0, 0
1467, 152, 1, 1, 2, 150,   0, 0, 0, 0, 0
1500, 152, 1, 1, 1,  30,  50, 2, 3, 3, 0
1533, 152, 1, 1, 1,  30,  50, 0, 0, 0, 0
1533, 152, 1, 1, 2, 150,  50, 0, 0, 0, 0
1567, 152, 1, 1, 2, 150,   0, 0, 0, 0, 0
1600, 152, 1, 1, 1,  30,  50, 1, 3, 3, 0
1633, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1667, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1667, 152, 1, 1, 1, 150,   0, 0, 0, 0, 0
1700, 152, 1, 1, 1, 150,  50, 1, 3, 3, 0
1733, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1767, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1767, 152, 1, 1, 1, 150,   0, 0, 0, 0, 0
1800, 152, 1, 1, 1, 150,  50, 1, 3, 3, 0
1833, 152, 1, 1, 2,  30,  50, 0, 0, 0, 0
1867, 152, 1, 1, 1,  30,   0, 0, 0, 0, 0

1900, 152, 1, 1, 1,  30,  50, 0, 0, 0, 1
1900, 152, 1, 1, 2, 150,  50, 1, 3, 3, 0
