 Level:Advanced
 100, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 1, 1
 200, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 0, 1
 300, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 0, 1
 400, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 0, 1

 500, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 1, 1
 600, 158, 1, 0, 0, 150, 100, 0, 0, 0, 0, 0, 1
 700, 158, 1, 0, 0, 150,  50, 0, 0, 0, 0, 0, 1
 750, 158, 1, 1, 1, 150,  51, 0, 0, 0, 0, 0, 1
 800, 158, 1, 2, 2, 150,   0, 0, 0, 0, 0, 0, 1

 900, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
 950, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
 975, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
1000, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
1050, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
1075, 158, 1, 1, 1,  30,   0, 0, 0, 0, 0, 0, 1
1100, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
1150, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
1175, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
1200, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
1250, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
1275, 158, 1, 1, 1,  30,   0, 0, 0, 0, 0, 0, 1

1300, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
1350, 158, 1, 1, 1, 150,   0, 0, 0, 0, 0, 0, 1
1400, 158, 1, 2, 2, 150,  50, 0, 0, 0, 0, 0, 1
1450, 158, 1, 1, 1, 150,  25, 0, 0, 0, 0, 0, 1
1475, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
1500, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
1525, 158, 1, 1, 1,  30,  50, 0, 0, 0, 0, 0, 1
1550, 158, 1, 1, 2, 150,   0, 0, 0, 0, 0, 0, 1
1600, 158, 1, 1, 1, 150,  50, 0, 0, 0, 0, 0, 1
1650, 158, 1, 1, 2, 150,  25, 0, 0, 0, 0, 0, 1
1675, 158, 1, 1, 1, 150,   0, 0, 0, 0, 0, 0, 1

1700, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
1750, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
1775, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
1800, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
1850, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
1875, 158, 1, 1, 1,  30,   0, 0, 0, 0, 0, 0, 1
1900, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
1950, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
1975, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
2000, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
2050, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
2075, 158, 1, 1, 1,  30,   0, 0, 0, 0, 0, 0, 1

2100, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
2150, 158, 1, 1, 1, 150,   0, 0, 0, 0, 0, 0, 1
2200, 158, 1, 2, 2, 150,  50, 0, 0, 0, 0, 0, 1
2250, 158, 1, 1, 1, 150,  25, 0, 0, 0, 0, 0, 1
2275, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
2300, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
2325, 158, 1, 1, 1,  30,  50, 0, 0, 0, 0, 0, 1
2350, 158, 1, 1, 2, 150,   0, 0, 0, 0, 0, 0, 1
2400, 158, 1, 1, 1, 150,  50, 0, 0, 0, 0, 0, 1
2450, 158, 1, 1, 2, 150,  25, 0, 0, 0, 0, 0, 1
2475, 158, 1, 1, 1, 150,   0, 0, 0, 0, 0, 0, 1

2500, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
2550, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
2575, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
2600, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
2650, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
2675, 158, 1, 1, 1,  30,   0, 0, 0, 0, 0, 0, 1
2700, 158, 1, 1, 2, 150,  50, 0, 0, 0, 0, 1, 1
2750, 158, 1, 1, 2,  30,  25, 0, 0, 0, 0, 0, 1
2775, 158, 1, 1, 2,  30,   0, 0, 0, 0, 0, 0, 1
2800, 158, 1, 1, 1, 150,  50, 0, 0, 0, 2, 0, 1
2850, 158, 1, 1, 1,  30,  25, 0, 0, 0, 0, 0, 1
